Data,Endereço IP,País,Origem,Ação,Host
09/07/2024 10:46,104.47.56.126,US,Bot-Mitigation,Challenge,tonawiz.wiz.co
09/07/2024 09:20,104.47.51.126,US,Bot-Mitigation,Challenge,senddrive.wiz.co
09/07/2024 09:13,104.47.57.126,US,Bot-Mitigation,Challenge,senddrive.wiz.co
09/07/2024 09:08,98.64.96.17,NL,Bot-Mitigation,Block,www.wiz.co
09/07/2024 08:59,104.47.56.126,US,Bot-Mitigation,Challenge,senddrive.wiz.co
09/07/2024 08:31,90.19.74.246,FR,Bot-Mitigation,Challenge,www.wiz.co
09/07/2024 04:17,159.138.101.120,CN,Firewall,Block,news.wiz.co
09/07/2024 02:14,206.168.34.210,US,Bot-Mitigation,Challenge,omni1-sb.wiz.co
09/07/2024 01:16,206.168.34.192,US,Bot-Mitigation,Challenge,omni1-sb.wiz.co
09/07/2024 00:21,101.18.139.248,CN,Firewall,Block,www.wiz.co
08/07/2024 22:38,199.45.154.157,US,Bot-Mitigation,Challenge,omni1-sb.wiz.co
08/07/2024 22:20,52.12.50.51,US,Bot-Mitigation,Block,www.wiz.co
08/07/2024 20:42,167.94.138.42,US,Bot-Mitigation,Challenge,tonawiz.wiz.co
08/07/2024 20:39,199.45.154.120,US,Bot-Mitigation,Challenge,corporate-sb.wiz.co
08/07/2024 19:36,120.46.210.129,CN,Firewall,Block,news.wiz.co
08/07/2024 19:33,199.45.154.159,US,Bot-Mitigation,Challenge,tonawiz.wiz.co
08/07/2024 19:16,199.45.155.101,US,Bot-Mitigation,Challenge,corporate-sb.wiz.co
08/07/2024 19:03,199.45.155.71,US,Bot-Mitigation,Challenge,tonawiz.wiz.co
08/07/2024 18:14,192.241.147.121,US,Bot-Mitigation,Challenge,infra-termos.wiz.co
08/07/2024 18:06,104.47.57.126,US,Bot-Mitigation,Challenge,senddrive.wiz.co
08/07/2024 17:47,199.45.155.107,US,Bot-Mitigation,Challenge,news.wiz.co
08/07/2024 16:59,167.94.138.54,US,Bot-Mitigation,Challenge,corporate-sb.wiz.co
08/07/2024 16:39,3.19.234.81,US,Bot-Mitigation,Block,www.wiz.co
08/07/2024 16:39,3.19.234.81,US,Bot-Mitigation,Block,www.wiz.co
08/07/2024 16:35,199.45.155.71,US,Bot-Mitigation,Challenge,news.wiz.co
08/07/2024 16:32,104.47.56.126,US,Bot-Mitigation,Challenge,www.wiz.co
08/07/2024 16:17,147.182.190.70,US,Bot-Mitigation,Challenge,inter-sb.wiz.co
08/07/2024 16:15,141.105.66.247,RU,Bot-Mitigation,Challenge,news.wiz.co
08/07/2024 16:15,141.105.66.247,RU,Bot-Mitigation,Challenge,news.wiz.co
08/07/2024 16:15,141.105.66.247,RU,Bot-Mitigation,Challenge,prophix.wiz.co
08/07/2024 16:15,141.105.66.247,RU,Bot-Mitigation,Challenge,prophix.wiz.co
08/07/2024 16:15,141.105.66.247,RU,Bot-Mitigation,Challenge,curt.wiz.co
08/07/2024 16:15,141.105.66.247,RU,Bot-Mitigation,Challenge,curt.wiz.co
08/07/2024 16:15,141.105.66.247,RU,Bot-Mitigation,Challenge,termo.wiz.co
08/07/2024 16:15,141.105.66.247,RU,Bot-Mitigation,Challenge,termo.wiz.co
08/07/2024 16:15,141.105.66.247,RU,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 16:15,141.105.66.247,RU,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 16:14,141.105.66.247,RU,Bot-Mitigation,Challenge,dash.wiz.co
08/07/2024 16:14,141.105.66.247,RU,Bot-Mitigation,Challenge,dash.wiz.co
08/07/2024 16:14,141.105.66.247,RU,Bot-Mitigation,Challenge,monitoramento.wiz.co
08/07/2024 16:14,141.105.66.247,RU,Bot-Mitigation,Challenge,documentos.wiz.co
08/07/2024 16:14,141.105.66.247,RU,Bot-Mitigation,Challenge,wpro-sb.wiz.co
08/07/2024 16:14,141.105.66.247,RU,Bot-Mitigation,Challenge,monitoramento.wiz.co
08/07/2024 16:14,141.105.66.247,RU,Bot-Mitigation,Challenge,wpro-sb.wiz.co
08/07/2024 16:14,141.105.66.247,RU,Bot-Mitigation,Challenge,documentos.wiz.co
08/07/2024 16:14,141.105.66.247,RU,Bot-Mitigation,Challenge,tonawiz.wiz.co
08/07/2024 16:14,141.105.66.247,RU,Bot-Mitigation,Challenge,tonawiz.wiz.co
08/07/2024 16:12,199.45.154.137,US,Bot-Mitigation,Challenge,news.wiz.co
08/07/2024 16:06,206.168.34.121,US,Bot-Mitigation,Challenge,tonawiz.wiz.co
08/07/2024 15:26,104.47.70.126,US,Bot-Mitigation,Challenge,senddrive.wiz.co
08/07/2024 15:20,104.47.57.126,US,Bot-Mitigation,Challenge,monitoramento.wiz.co
08/07/2024 15:18,104.47.57.126,US,Bot-Mitigation,Challenge,monitoramento.wiz.co
08/07/2024 15:17,3.133.124.9,US,Bot-Mitigation,Block,www.wiz.co
08/07/2024 15:17,3.133.124.9,US,Bot-Mitigation,Block,www.wiz.co
08/07/2024 15:17,104.47.57.126,US,Bot-Mitigation,Challenge,monitoramento.wiz.co
08/07/2024 14:42,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 14:41,104.47.56.126,US,Bot-Mitigation,Challenge,senddrive.wiz.co
08/07/2024 14:21,110.154.103.200,CN,Firewall,Block,www.wiz.co
08/07/2024 13:35,220.231.145.199,CN,Firewall,Block,www.wiz.co
08/07/2024 13:35,220.231.145.199,CN,Firewall,Block,www.wiz.co
08/07/2024 12:34,195.210.110.13,GB,Bot-Mitigation,Block,assinatura.wiz.co
08/07/2024 12:34,161.123.226.118,GB,Bot-Mitigation,Block,assinatura.wiz.co
08/07/2024 12:33,144.202.33.143,US,Bot-Mitigation,Block,www.wiz.co
08/07/2024 12:30,104.47.70.126,US,Bot-Mitigation,Challenge,senddrive.wiz.co
08/07/2024 12:29,104.47.55.126,US,Bot-Mitigation,Challenge,senddrive.wiz.co
08/07/2024 12:28,216.158.219.150,GB,Bot-Mitigation,Block,senddrive.wiz.co
08/07/2024 12:28,216.158.219.150,GB,Bot-Mitigation,Block,senddrive.wiz.co
08/07/2024 12:28,216.158.219.150,GB,Bot-Mitigation,Block,senddrive.wiz.co
08/07/2024 12:25,1.63.42.111,CN,Firewall,Block,www.wiz.co
08/07/2024 12:25,1.63.42.103,CN,Firewall,Block,www.wiz.co
08/07/2024 12:25,1.63.42.92,CN,Firewall,Block,www.wiz.co
08/07/2024 12:25,1.63.42.126,CN,Firewall,Block,www.wiz.co
08/07/2024 12:25,1.63.42.125,CN,Firewall,Block,www.wiz.co
08/07/2024 12:25,1.63.42.94,CN,Firewall,Block,www.wiz.co
08/07/2024 12:25,1.63.42.124,CN,Firewall,Block,www.wiz.co
08/07/2024 12:25,1.63.42.127,CN,Firewall,Block,www.wiz.co
08/07/2024 12:25,1.63.42.110,CN,Firewall,Block,www.wiz.co
08/07/2024 12:25,1.63.42.95,CN,Firewall,Block,www.wiz.co
08/07/2024 12:25,1.63.42.124,CN,Firewall,Block,www.wiz.co
08/07/2024 12:25,1.63.42.101,CN,Firewall,Block,www.wiz.co
08/07/2024 12:25,1.63.42.99,CN,Firewall,Block,www.wiz.co
08/07/2024 12:25,1.63.42.107,CN,Firewall,Block,www.wiz.co
08/07/2024 12:25,1.63.42.124,CN,Firewall,Block,www.wiz.co
08/07/2024 12:25,1.63.42.97,CN,Firewall,Block,www.wiz.co
08/07/2024 12:25,1.63.42.112,CN,Firewall,Block,www.wiz.co
08/07/2024 12:25,1.63.42.115,CN,Firewall,Block,www.wiz.co
08/07/2024 12:25,1.63.42.104,CN,Firewall,Block,www.wiz.co
08/07/2024 12:25,1.63.42.100,CN,Firewall,Block,www.wiz.co
08/07/2024 12:25,1.63.42.119,CN,Firewall,Block,www.wiz.co
08/07/2024 12:25,1.63.42.125,CN,Firewall,Block,www.wiz.co
08/07/2024 12:25,1.63.42.97,CN,Firewall,Block,www.wiz.co
08/07/2024 12:25,1.63.42.126,CN,Firewall,Block,www.wiz.co
08/07/2024 12:25,1.63.42.99,CN,Firewall,Block,www.wiz.co
08/07/2024 12:25,1.63.42.122,CN,Firewall,Block,www.wiz.co
08/07/2024 12:25,1.63.42.101,CN,Firewall,Block,www.wiz.co
08/07/2024 12:22,85.209.5.38,GB,Bot-Mitigation,Block,senddrive.wiz.co
08/07/2024 12:22,161.123.225.236,GB,Bot-Mitigation,Block,assinatura.wiz.co
08/07/2024 12:22,195.210.97.69,GB,Bot-Mitigation,Block,assinatura.wiz.co
08/07/2024 12:22,89.40.209.73,GB,Bot-Mitigation,Block,senddrive.wiz.co
08/07/2024 12:09,103.109.81.134,GB,Bot-Mitigation,Block,senddrive.wiz.co
08/07/2024 12:09,103.109.81.134,GB,Bot-Mitigation,Block,senddrive.wiz.co
08/07/2024 12:09,103.109.81.134,GB,Bot-Mitigation,Block,senddrive.wiz.co
08/07/2024 12:09,154.29.103.35,GB,Bot-Mitigation,Block,senddrive.wiz.co
08/07/2024 12:09,154.29.103.35,GB,Bot-Mitigation,Block,senddrive.wiz.co
08/07/2024 12:09,154.29.103.35,GB,Bot-Mitigation,Block,senddrive.wiz.co
08/07/2024 11:20,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:19,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:19,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:19,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:19,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:19,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:19,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:19,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:19,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:19,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:19,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:19,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:19,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:19,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:19,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:19,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:19,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:19,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:19,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:19,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:19,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:18,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:18,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:18,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:18,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:18,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:18,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:18,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:18,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:18,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:18,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:18,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:18,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:18,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:18,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:17,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:17,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:17,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:17,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:17,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:17,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:17,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:17,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:17,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:17,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:17,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:17,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:17,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:17,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:17,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:17,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:17,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:17,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:16,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:16,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:16,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:16,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:16,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:16,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:16,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:16,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:16,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:16,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:16,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:16,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:16,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:16,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:16,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:16,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:16,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:16,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:16,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:15,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:15,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:15,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:15,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:15,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:15,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:15,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:15,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:15,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:15,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:15,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:15,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:15,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:15,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:14,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:14,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:14,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:14,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:14,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:14,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:14,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:14,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:14,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:14,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:14,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:14,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:14,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:14,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:14,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:14,89.249.57.65,CO,Bot-Mitigation,Block,protecaodedados.wiz.co
08/07/2024 11:14,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:13,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:13,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:13,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:13,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:13,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:13,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:13,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:13,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:13,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:13,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:13,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:13,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:13,89.249.58.235,CO,Bot-Mitigation,Block,protecaodedados.wiz.co
08/07/2024 11:13,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:13,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:12,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:12,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:12,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:12,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:12,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 09:21,104.47.51.126,US,Bot-Mitigation,Challenge,tonawiz.wiz.co
08/07/2024 08:01,177.80.14.97,BR,Bot-Mitigation,Block,www.wiz.co
08/07/2024 05:20,199.45.155.86,US,Bot-Mitigation,Challenge,wpro-sb.wiz.co
08/07/2024 04:43,199.45.154.156,US,Bot-Mitigation,Challenge,termo.wiz.co
08/07/2024 04:21,142.93.240.190,US,Bot-Mitigation,Challenge,inter-sb.wiz.co
08/07/2024 03:59,199.45.155.107,US,Bot-Mitigation,Challenge,termo.wiz.co
08/07/2024 02:08,220.231.145.206,CN,Firewall,Block,www.wiz.co
08/07/2024 01:22,206.168.34.218,US,Bot-Mitigation,Challenge,termo.wiz.co
08/07/2024 01:01,167.94.138.45,US,Bot-Mitigation,Challenge,wpro-sb.wiz.co
08/07/2024 00:35,199.45.155.72,US,Bot-Mitigation,Challenge,news.wiz.co
08/07/2024 00:02,199.45.155.106,US,Bot-Mitigation,Challenge,news.wiz.co
08/07/2024 00:02,42.236.17.58,CN,Firewall,Block,www.wiz.co
